Value: 1, Type: NUMBER, Line: 72
Value: ;, Type: SEMICOLON, Line: 72
Value: end, Type: END, Line: 73
Value: return, Type: RETURN, Line: 74
Value: result, Type: IDENTIFIER, Line: 74
Value: ;, Type: SEMICOLON, Line: 74
Value: end, Type: END, Line: 75
Value: function, Type: FUNC, Line: 77
Value: media, Type: IDENTIFIER, Line: 77
Value: (, Type: LEFT_PARENTHESIS, Line: 77
Value: a, Type: IDENTIFIER, Line: 77
Value: :, Type: COLON, Line: 77
Value: vetor, Type: IDENTIFIER, Line: 77
Value: ), Type: RIGHT_PARENTHESIS, Line: 77
Value: :, Type: COLON, Line: 77
Value: integer, Type: INTEGER, Line: 77
Value: var, Type: VAR, Line: 78
Value: m, Type: IDENTIFIER, Line: 78
Value: :, Type: COLON, Line: 78
Value: integer, Type: INTEGER, Line: 78
Value: ;, Type: SEMICOLON, Line: 78
Value: begin, Type: BEGIN, Line: 79
Value: m, Type: IDENTIFIER, Line: 80
Value: :, Type: COLON, Line: 80
Value: =, Type: EQUAL, Line: 80
Value: maior, Type: IDENTIFIER, Line: 80
Value: (, Type: LEFT_PARENTHESIS, Line: 80
Value: a, Type: IDENTIFIER, Line: 80
Value: ), Type: RIGHT_PARENTHESIS, Line: 80
Value: +, Type: PLUS, Line: 80
Value: menor, Type: IDENTIFIER, Line: 80
Value: (, Type: LEFT_PARENTHESIS, Line: 80
Value: a, Type: IDENTIFIER, Line: 80
Value: ), Type: RIGHT_PARENTHESIS, Line: 80
Value: ;, Type: SEMICOLON, Line: 80
Value: return, Type: RETURN, Line: 81
Value: m, Type: IDENTIFIER, Line: 81
Value: /, Type: DIV, Line: 81
Value: 2, Type: NUMBER, Line: 81
Value: ;, Type: SEMICOLON, Line: 81
Value: end, Type: END, Line: 82
Value: begin, Type: BEGIN, Line: 84
Value: A, Type: IDENTIFIER, Line: 85
Value: :, Type: COLON, Line: 85
Value: =, Type: EQUAL, Line: 85
Value: TAM, Type: IDENTIFIER, Line: 85
Value: +, Type: PLUS, Line: 85
Value: 20, Type: NUMBER, Line: 85
Value: ;, Type: SEMICOLON, Line: 85
Value: B, Type: IDENTIFIER, Line: 86
Value: :, Type: COLON, Line: 86
Value: =, Type: EQUAL, Line: 86
Value: fatorial, Type: IDENTIFIER, Line: 86
Value: (, Type: LEFT_PARENTHESIS, Line: 86
Value: A, Type: IDENTIFIER, Line: 86
Value: ), Type: RIGHT_PARENTHESIS, Line: 86
Value: ;, Type: SEMICOLON, Line: 86
Value: C, Type: IDENTIFIER, Line: 87
Value: :, Type: COLON, Line: 87
Value: =, Type: EQUAL, Line: 87
Value: exp, Type: IDENTIFIER, Line: 87
Value: (, Type: LEFT_PARENTHESIS, Line: 87
Value: A, Type: IDENTIFIER, Line: 87
Value: ,, Type: COMMA, Line: 87
Value: B, Type: IDENTIFIER, Line: 87
Value: ), Type: RIGHT_PARENTHESIS, Line: 87
Value: ;, Type: SEMICOLON, Line: 87
Value: D, Type: IDENTIFIER, Line: 88
Value: :, Type: COLON, Line: 88
Value: =, Type: EQUAL, Line: 88
Value: media, Type: IDENTIFIER, Line: 88
Value: (, Type: LEFT_PARENTHESIS, Line: 88
Value: E, Type: IDENTIFIER, Line: 88
Value: ), Type: RIGHT_PARENTHESIS, Line: 88
Value: ;, Type: SEMICOLON, Line: 88
Value: lerDados, Type: IDENTIFIER, Line: 89
Value: (, Type: LEFT_PARENTHESIS, Line: 89
Value: ), Type: RIGHT_PARENTHESIS, Line: 89
Value: ;, Type: SEMICOLON, Line: 89
Value: end, Type: END, Line: 90
